structure_id,formula,n_atoms,volume,a,b,c,alpha,beta,gamma,energy
44,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.66164903
45,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.6777395
46,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.73943357
47,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.53370597
48,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.56244328
49,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.28996098
50,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.45416167
51,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.16886158
52,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.94115381
53,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.12770036
54,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.96499488
55,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.10168883
56,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.16851313
57,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.95683273
58,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.75713431
59,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.11857098
