calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4275.996168798432,-269.60475637,0.013700000000000045,2.2116
-4276.311297271677,-269.82282249,0.007000000000000561,2.2016
-4275.1392642702485,-268.86361404,0.016899999999999693,2.2041
-4274.647702588004,-269.4787468,0.006999999999999673,2.2285
-4275.604909645099,-269.74213736,0.0038999999999997925,2.1952
-4274.985558514724,-268.94814917,0.007400000000000517,2.2269
-4275.995177616885,-269.55306459,0.00140000000000029,2.2358
-4275.2478016057385,-269.94613572,0.0019000000000000128,2.2308
-4275.951538754859,-269.42061311,0.017900000000000027,2.217
-4275.829335154788,-269.21636134,0.0030999999999998806,2.2082
-4274.104538736312,-269.1817031,0.006400000000000183,2.2049
-4275.9595733607375,-269.52256721,0.010699999999999932,2.1984
