generation,best_fitness,avg_fitness,std_fitness,delta_element.Cd.levels[0],delta_element.Cd.levels[1],delta_element.Cd.slater[0],delta_element.Cd.slater[1],delta_element.Cd.shpoly[0],delta_element.Cd.shpoly[1],delta_element.Cd.kcn[0],delta_element.Cd.kcn[1],delta_element.Cd.gam,delta_element.Cd.lgam[0],delta_element.Cd.lgam[1],delta_element.Cd.arep,delta_element.Cd.en,delta_element.S.levels[0],delta_element.S.levels[1],delta_element.S.levels[2],delta_element.S.slater[0],delta_element.S.slater[1],delta_element.S.slater[2],delta_element.S.shpoly[0],delta_element.S.shpoly[1],delta_element.S.shpoly[2],delta_element.S.kcn[0],delta_element.S.kcn[1],delta_element.S.kcn[2],delta_element.S.gam,delta_element.S.lgam[0],delta_element.S.lgam[1],delta_element.S.lgam[2],delta_element.S.arep,delta_element.S.en
10,1.1559328201284016,1.1559328201284016,0.0,2.526951076011917,-0.7040973548883938,0.16645137804049748,0.05221330462882934,0.0206252367150547,-0.0010602318658011756,0.16804228980514088,0.04238446219235206,-0.01002454245084039,0.1877977656495018,-0.17305092791584353,-0.18691300472995276,0.09808740986897746,-4.033828048881016,-1.772883312329311,0.02953415231321399,-0.3453083307027782,0.3032472463036333,-0.2334071115015628,0.0047743371678548585,-0.0008379422339813217,0.036699602684404975,-0.016342005365490908,0.0076343044526713255,0.0002968068859654782,-0.0552112381313663,-0.12772996785963853,0.11389368111193854,-0.04390606926077045,-0.22234798777825726,0.14176292262581214
11,1.1136191123301264,1.1136191123301264,0.0,-1.2842388384207624,-0.47332391964009135,0.39660899415937134,0.22437560092308195,0.0032313934297022034,0.0150431491743271,0.03468725464715036,0.049485339640784415,-0.00458713359937829,-0.24468579756059494,0.012096297184977955,-0.006661778463542767,0.22886166772632666,-0.4384526232981507,0.7800205875941533,-0.07818809432685692,-0.13592033223472155,0.24066480828762593,0.02658822788767079,-0.0007187031803252419,-0.010143774967731424,0.009855740638196164,-0.027839431924999547,-0.008268952140296437,0.0014571126002245645,0.025904882782701755,-0.03791061857302269,-0.048335730041285885,0.1133469010125725,-0.08785158502266222,0.4884079205321967
12,1.1219596696636467,1.1219596696636467,0.0,2.551180971368387,0.3597830147422232,0.24225900407902223,-0.041194779759276656,-0.012397771205993668,-0.005617039311877861,-0.08394364305506,0.10994671645872459,0.003446941268174214,-0.04716947721250664,0.05770264487323218,0.09544655723244366,-0.2155183990897762,-3.315788913044109,0.1668853096651528,-0.29813337805382467,0.18289930646922192,0.463918896574004,0.11818986693734335,-0.004410997188157156,0.006404749902175384,0.0013110522638991873,0.027263262063116328,0.00033115226270775955,0.0013012697878757098,0.09946300669198116,-0.12873665217373986,-0.0037737038558501856,0.20952073465102794,0.049129759961679564,-0.6061999648942522
13,1.2933741437225348,1.2933741437225348,0.0,-2.3149286999251704,0.7822237464331514,-0.3516658561299437,-0.11400231752662404,0.013002828660449606,0.005556969687689414,0.18130247481862452,0.08817783818150399,-0.023580019971754906,0.09967166724616061,0.04908774317988418,-0.1272353998648934,0.07837824670986793,2.1809832197881356,-1.0504347388276134,-0.4247309533421677,0.06211714992220507,-0.4799145372764284,0.2726849177612478,0.0036794394703392463,-0.0011355259327662376,-0.01909461535576923,-0.0019212712163725887,0.0025769049171571676,-0.0004162289812335851,0.019214744424479457,-0.03796011902247609,-0.1346619398283544,0.05875966180215153,0.12844959822681146,0.3566919152330419
14,0.15740039515178927,0.15740039515178927,0.0,-0.24594167971637582,-0.16071223486395558,0.15780581245585656,0.12945925017417426,-0.015454098999248322,-0.012368091472072316,-0.01423418538914241,0.14923900916508281,-0.014931481942201119,-0.13796956241575342,-0.13628860056410752,-0.08649343411528165,-0.4074827608121798,3.50090154382001,-0.9286392658651312,-0.11912310256326353,-0.18272973894444355,-0.40893961719543825,-0.3401082360622254,-0.001305815722594722,-0.0034498128806466424,-0.03898277524598642,-0.019640417986718534,0.006125606935388647,0.001961715248391795,-0.02828630185653902,-0.11263642319256606,0.13386461684371465,-0.23702242083299807,-0.15439990559463213,0.3113817628410005
15,0.2918170356774221,0.2918170356774221,0.0,0.22036883847040478,0.8700416977960073,-0.21437796060924041,-0.23789922320958823,0.020134230743091522,0.007791521568976473,-0.07172969572883685,0.1991352721649612,0.03126278882461059,-0.05072397923045424,-0.22159902186792735,-0.06558444668284924,0.14420026179691803,-4.8851711461877585,-0.2030192790030796,-0.36271780642754115,0.3956441696374995,-0.119185352779128,-0.48217491559300374,0.015729563140338187,0.009084086752910552,0.03790738977061214,-0.034853759518716415,0.004803861107033437,-0.0011396681343966847,-0.047018048726058304,0.1082793216551241,-0.04732749174687323,0.23261515918513087,0.08395633230135147,-0.008046332023005753
16,1.886478286130112,1.886478286130112,0.0,-2.5849267978726793,0.6038807171850311,0.40531044270014505,-0.11782197779312731,0.016161842124698095,0.004411433883888344,-0.0015558922670834557,-0.09579896861655648,0.00398049229426059,0.11955935134163731,-0.07194208799907698,-0.07501810875044035,0.09025248669254404,5.09235005934492,1.031294293634355,0.056986345938752514,0.5496631331157049,-0.39270346770116715,0.36559117320663814,-0.017389121118981776,0.0076208988796491114,-0.0002249285847605309,0.030999482265451794,-0.00268521725862398,0.0003338673566424359,0.1570384694600122,0.07779718761562471,0.19786136913205377,0.0031690009404450326,0.29024613628019136,0.5271927039087649
17,1.4057699866896387,1.4057699866896387,0.0,-2.6906655387639145,-0.06041783737342188,-0.2651158383773893,0.13311096695228541,0.007284385388459991,0.009662221285529488,-0.048680012593958634,-0.007504722712922754,0.0022073999887648466,-0.018246447513920572,-0.08345363898832192,0.13848751910789692,-0.3672299999676847,-3.1333793646269577,1.9009433320104403,-0.18583447730073344,0.13823904208326754,0.35536363303479623,-0.33540823540625087,0.011810565409670376,-0.0098142015935992,0.0029721783896092535,7.377433185815074e-05,-0.007752115287263238,-0.0004501362024330706,0.07576829284260689,-0.20256639543450694,-0.16361092569689228,0.05198247103130749,0.20994249158030165,0.5957620447249337
18,1.5218420445795289,1.5218420445795289,0.0,0.49750720331065423,0.14596921245006644,-0.31264524784234293,-0.09810794756224972,-0.022786721402965032,0.010032852003430737,0.18378864100392198,0.1588020849359331,0.018469334812538374,0.09658720172021873,0.19547118386421036,0.1063936543728572,0.015095078889541202,-0.0429814972000635,-2.4081919362691586,0.3775952392673827,-0.10212927341759004,-0.24719492334440907,-0.1247212258078978,-0.025451211759097897,-0.00381717325728808,-0.0403955346912985,0.007207816577670029,-0.0030076906389517946,-0.0011403540110262993,0.012903214642577598,-0.10126153388198877,0.14578653156338783,-0.2115728465643656,-0.07237179844515862,-0.31724934473926814
19,1.3785116563344686,1.3785116563344686,0.0,-1.234747508978577,0.06066693792899924,-0.0027193295369187798,-0.23857942613777539,-0.02313306501777415,-0.01156844484147506,0.17414787837693693,-0.04739539455792373,-0.012866092881079441,-0.13755335033650828,0.15293531992852716,-0.09774879694705396,-0.23206790404624744,2.2375881589009303,-2.114302805656619,0.34795947592104204,0.08547962353228744,-0.19117569863676165,0.3903817453700489,0.017290541323601527,0.006464994227661537,-0.018315350379138035,0.01072619707354705,0.0018810460710305676,0.0014118281110074016,-0.025330379167288197,-0.09449164765506257,-0.19819273984895203,-0.19139118892429108,0.07187515649073739,-0.6359232320217212
